role,source,offset,target_mrp,candidate_record_index_272,candidate_record_start,pre32_hex,post64_hex
loose_runtime_cfg,gwy/cfg.bin,18347,gwy/wapgame.mrp,63,18160,cb00000000000000000000000000000000000000012a010000271d0000b3f000,6777792f77617067616d652e6d727000000000000000000000000000000000000000000000000000000102030409ffffffffffffffffffffffffffff00000000
loose_runtime_cfg,gwy/cfg.bin,18611,gwy/wapgame.mrp,64,18432,5b00000000000000000000000000000000000000012a01000000980000b3f000,6777792f77617067616d652e6d727000000000000000000000000000000000000000000000000000000102030409ffffffffffffffffffffffffffff00000000
embedded_seed_cfg,gwy/gamelist.mrp::cfg.bin,14,gwy/property.mrp,,,00040001000000360a0000000046,6777792f70726f70657274792e6d727000000000000000000000000000000000000000000000000000000e00000000316777792f7367652e6d72700000000000
embedded_seed_cfg,gwy/gamelist.mrp::cfg.bin,62,gwy/sge.mrp,,,00000000000000000000000000000000000000000000000000000e0000000031,6777792f7367652e6d7270000000000000000000000000000000000000000000000000000000000000001600000000166777792f736d652e6d72700000000000
embedded_seed_cfg,gwy/gamelist.mrp::cfg.bin,110,gwy/sme.mrp,,,0000000000000000000000000000000000000000000000000000160000000016,6777792f736d652e6d7270000000000000000000000000000000000000000000000000000000000000001a00000003e86777792f726f6f6d6c6973742e6d7270
embedded_seed_cfg,gwy/gamelist.mrp::cfg.bin,158,gwy/roomlist.mrp,,,00000000000000000000000000000000000000000000000000001a00000003e8,6777792f726f6f6d6c6973742e6d727000000000000000000000000000000000000000000000000000001c00000000526777792f656d626672642e6d72700000
embedded_seed_cfg,gwy/gamelist.mrp::cfg.bin,206,gwy/embfrd.mrp,,,00000000000000000000000000000000000000000000000000001c0000000052,6777792f656d626672642e6d7270000000000000000000000000000000000000000000000000000000001d00000000286777792f656d62636861742e6d727000
embedded_seed_cfg,gwy/gamelist.mrp::cfg.bin,254,gwy/embchat.mrp,,,00000000000000000000000000000000000000000000000000001d0000000028,6777792f656d62636861742e6d72700000000000000000000000000000000000000000000000000000001700000003e96777792f63757272656e63792e6d7270
embedded_seed_cfg,gwy/gamelist.mrp::cfg.bin,302,gwy/currency.mrp,,,00000000000000000000000000000000000000000000000000001700000003e9,6777792f63757272656e63792e6d727000000000000000000000000000000000000000000000000000007000000000556777792f6d61702e6d72700000000000
embedded_seed_cfg,gwy/gamelist.mrp::cfg.bin,350,gwy/map.mrp,,,0000000000000000000000000000000000000000000000000000700000000055,6777792f6d61702e6d7270000000000000000000000000000000000000000000000000000000000000007100000000276777792f6d617071756572792e6d7270
embedded_seed_cfg,gwy/gamelist.mrp::cfg.bin,398,gwy/mapquery.mrp,,,0000000000000000000000000000000000000000000000000000710000000027,6777792f6d617071756572792e6d727000000000000000000000000000000000000000000000000000007280000000386777792f647261676f6e7069632e6d72
embedded_seed_cfg,gwy/gamelist.mrp::cfg.bin,446,gwy/dragonpic.mrp,,,0000000000000000000000000000000000000000000000000000728000000038,6777792f647261676f6e7069632e6d7270000000000000000000000000000000000000000000000000007300000000386777792f6467616d65312e6d72700000
embedded_seed_cfg,gwy/gamelist.mrp::cfg.bin,494,gwy/dgame1.mrp,,,7000000000000000000000000000000000000000000000000000730000000038,6777792f6467616d65312e6d7270000000000000000000000000000000000000000000000000000000007d00000000336777792f6a756467652e6d7270000000
embedded_seed_cfg,gwy/gamelist.mrp::cfg.bin,542,gwy/judge.mrp,,,00000000000000000000000000000000000000000000000000007d0000000033,6777792f6a756467652e6d727000000000000000000000000000000000000000000000000000000000007d20000000336777792f62617a6f6f2e6d7270000000
embedded_seed_cfg,gwy/gamelist.mrp::cfg.bin,590,gwy/bazoo.mrp,,,00000000000000000000000000000000000000000000000000007d2000000033,6777792f62617a6f6f2e6d727000000000000000000000000000000000000000000000000000000000002600000003e86777792f7379737365742e6d72700000
embedded_seed_cfg,gwy/gamelist.mrp::cfg.bin,638,gwy/sysset.mrp,,,00000000000000000000000000000000000000000000000000002600000003e8,6777792f7379737365742e6d72700000000000000000000000000000000000000000000000000000000027000000005d6777792f67616d656c6f6262792e6d72
embedded_seed_cfg,gwy/gamelist.mrp::cfg.bin,686,gwy/gamelobby.mrp,,,000000000000000000000000000000000000000000000000000027000000005d,6777792f67616d656c6f6262792e6d7270000000000000000000000000000000000000000000000000002200000000206777792f666f6e742e6d727000000000
embedded_seed_cfg,gwy/gamelist.mrp::cfg.bin,734,gwy/font.mrp,,,7000000000000000000000000000000000000000000000000000220000000020,6777792f666f6e742e6d72700000000000000000000000000000000000000000000000000000000000000b00000004516777792f6368617267652e6d72700000
embedded_seed_cfg,gwy/gamelist.mrp::cfg.bin,782,gwy/charge.mrp,,,00000000000000000000000000000000000000000000000000000b0000000451,6777792f6368617267652e6d7270000000000000000000000000000000000000000000000000000000002a00000003e86777792f77617067616d652e6d727000
embedded_seed_cfg,gwy/gamelist.mrp::cfg.bin,830,gwy/wapgame.mrp,,,00000000000000000000000000000000000000000000000000002a00000003e8,6777792f77617067616d652e6d72700000000000000000000000000000000000000000000000000000007400000000386777792f6467616d65322e6d72700000
embedded_seed_cfg,gwy/gamelist.mrp::cfg.bin,878,gwy/dgame2.mrp,,,0000000000000000000000000000000000000000000000000000740000000038,6777792f6467616d65322e6d727000000000000000000000000000000000000000000000000000000000a100000000526777792f6e6574732e6d727000000000
