target_mrp,side_pack_dir,pack_name,pack_path,member_count,appid,appver,sha256,is_downimage,ready
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,cannon1,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/cannon1.mrp,5,0x7534,0x65,3d974c1c9334c8c88c48c0a35f5c2d2c2229b507a31230e4c0c621b46815eabe,0,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,chi,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/chi.mrp,2,0x7534,0x65,0e6b65d247e127110ebc81ac2acbf61b7c21efa962346fdc222637c0a139b592,0,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,default,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/default.mrp,39,0x7534,0x65,d356c994b3ed36568fe287bdbac42cc6bb533b08344fc873b2e4713afdd1cb8b,0,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,default2,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/default2.mrp,52,0x7534,0x65,8abf618178767e07077fcc29a270edae6d17efdf604a52bb83a11cba89939ebb,0,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,default3,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/default3.mrp,25,0x7534,0x65,775ad23b8abe4bb6dd5d0078f3298b4fa182ce33385f04e02f72959586bc4c13,0,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,devil1,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/devil1.mrp,63,0x7534,0x65,57a09a23ee4a71774425c2acc4e588357af26385454f6a0fafef0d271c0fb682,0,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,devil2,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/devil2.mrp,3,0x7534,0x65,0f3cc3916aa273a7e904503f2413a345c3f8c6f9433af41433713582da224a34,0,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,devil4,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/devil4.mrp,3,0x7534,0x65,5fbbdae6723e034254a265d75f635dcd6faf72ee2807b9402519867642257756,0,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,dong1,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/dong1.mrp,34,0x7534,0x65,aa1d2397dc260f8fbef09fa6a7d7c79c23fd2836437e611dff197d6c7153b9b4,0,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,dongimage,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/dongimage.mrp,2,0x7534,0x65,956c95005d3756d45317075a260098ba8661a8ce3580bcd6e621b949d8d858c8,0,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,downimage1,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/downimage1.mrp,2,0x7534,0x65,f0531e35bf5a41e011583877b3cbfed337a3120a15749e39ff0ecb026a5339d0,1,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,downimage2,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/downimage2.mrp,2,0x7534,0x65,dd54c66757ff59b7023baed7f7453fcaa7d8821e6ea44ca4676c038a84d5d3f8,1,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,downimage3,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/downimage3.mrp,2,0x7534,0x65,3b8f2411bd9147d6caab7b070c8b1309a7ea354f06ed300ff4efba8287ad823c,1,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,gun1,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/gun1.mrp,23,0x7534,0x65,116e5035b93ef95a426b691d7b6d78a36c059b5811c8bb3b0814c5d725ea1ede,0,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,gun2,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/gun2.mrp,5,0x7534,0x65,5f7580844657c481b66f6abc8e26eb422743ba09b4eba0a82615a958d5887667,0,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,gunimage,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/gunimage.mrp,2,0x7534,0x65,16cf055f69a71aee352b9c917a2b27fa09205494041d5359dc8ce5968a44122a,0,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,hint,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/hint.mrp,2,0x7534,0x65,84208084112495d952f27b5862877defd0d2910ed8dcc296bbee814d38e22078,0,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,itemType,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/itemType.mrp,2,0x7534,0x65,031497f2fc83989ff41b205563f6fcc5aa53357107c1dcab85db3174f5242f8c,0,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,man1,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/man1.mrp,31,0x7534,0x65,582f45bd3bb8d95ffb7452c85c36f3072fc425c9f51e41783fe2414c7a9f3492,0,1
